127.0.0.1 - - [08/Sep/2016:15:50:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/register.jsp HTTP/1.1" 200 10871
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/chosen/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/charisma-app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/bootstrap-cerulean.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/elfinder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/jquery.noty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/jquery.iphone.toggle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/elfinder.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/uploadify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/noty_theme_default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/img/logo20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:15:50:41 +0800] "GET /ordering_system/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
